Port,Service,Status,Risk Level
135,RPC,OPEN,HIGH
137,NetBIOS,CLOSED,UNKNOWN
139,SMB,OPEN,HIGH
123,NTP,CLOSED,UNKNOWN
124,Unknown Service,CLOSED,UNKNOWN
125,Unknown Service,CLOSED,UNKNOWN
122,Unknown Service,CLOSED,UNKNOWN
120,Unknown Service,CLOSED,UNKNOWN
121,Unknown Service,CLOSED,UNKNOWN
128,Unknown Service,CLOSED,UNKNOWN
130,Unknown Service,CLOSED,UNKNOWN
132,Unknown Service,CLOSED,UNKNOWN
131,Unknown Service,CLOSED,UNKNOWN
129,Unknown Service,CLOSED,UNKNOWN
127,Unknown Service,CLOSED,UNKNOWN
140,Unknown Service,CLOSED,UNKNOWN
126,Unknown Service,CLOSED,UNKNOWN
138,NetBIOS,CLOSED,UNKNOWN
133,Unknown Service,CLOSED,UNKNOWN
134,Unknown Service,CLOSED,UNKNOWN
136,Unknown Service,CLOSED,UNKNOWN
142,Unknown Service,CLOSED,UNKNOWN
146,Unknown Service,CLOSED,UNKNOWN
149,Unknown Service,CLOSED,UNKNOWN
150,Unknown Service,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
145,Unknown Service,CLOSED,UNKNOWN
148,Unknown Service,CLOSED,UNKNOWN
141,Unknown Service,CLOSED,UNKNOWN
147,Unknown Service,CLOSED,UNKNOWN
144,Unknown Service,CLOSED,UNKNOWN
