Port,Service,Status,Risk Level
130,cisco-fna,CLOSED,UNKNOWN
131,cisco-tna,CLOSED,UNKNOWN
132,cisco-sys,CLOSED,UNKNOWN
133,statsrv,CLOSED,UNKNOWN
134,ingres-net,CLOSED,UNKNOWN
135,RPC,OPEN,HIGH
136,profile,CLOSED,UNKNOWN
137,NetBIOS,FILTERED,UNKNOWN
138,NetBIOS,CLOSED,UNKNOWN
139,SMB,OPEN,HIGH
140,emfis-data,CLOSED,UNKNOWN
141,emfis-cntl,CLOSED,UNKNOWN
142,bl-idm,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
144,news,CLOSED,UNKNOWN
145,uaac,CLOSED,UNKNOWN
146,iso-tp0,CLOSED,UNKNOWN
147,iso-ip,CLOSED,UNKNOWN
148,cronus,CLOSED,UNKNOWN
149,aed-512,CLOSED,UNKNOWN
150,sql-net,CLOSED,UNKNOWN
