============================================================
NETWORK PORT SCAN REPORT
============================================================

Scan Date : 2026-07-07 10:57:27.501217

TARGET INFORMATION
------------------------------------------------------------
Target IP   : 10.214.101.248
Hostname    : ORG-DKMNU-COMPNY-DESKTOP-7BHHFD
Port Range  : 130 - 14000
Duration    : 140.86 seconds

SCAN SUMMARY
------------------------------------------------------------
Open Ports     : 6
Closed Ports   : 13865
Filtered Ports : 0
Total Scanned  : 13871

OPEN PORTS
------------------------------------------------------------
Port 135 --> RPC --> OPEN
Port 139 --> SMB --> OPEN
Port 445 --> SMB --> OPEN
Port 5000 --> Unknown Service --> OPEN
Port 5040 --> Unknown Service --> OPEN
Port 7680 --> Unknown Service --> OPEN

DETAILED PORT STATUS
------------------------------------------------------------
Port 130 --> Unknown Service --> CLOSED
Port 131 --> Unknown Service --> CLOSED
Port 132 --> Unknown Service --> CLOSED
Port 133 --> Unknown Service --> CLOSED
Port 134 --> Unknown Service --> CLOSED
Port 135 --> RPC --> OPEN
Port 136 --> Unknown Service --> CLOSED
Port 137 --> NetBIOS --> CLOSED
Port 138 --> NetBIOS --> CLOSED
Port 139 --> SMB --> OPEN
Port 140 --> Unknown Service --> CLOSED
Port 141 --> Unknown Service --> CLOSED
Port 142 --> Unknown Service --> CLOSED
Port 143 --> IMAP --> CLOSED
Port 144 --> Unknown Service --> CLOSED
Port 145 --> Unknown Service --> CLOSED
Port 146 --> Unknown Service --> CLOSED
Port 147 --> Unknown Service --> CLOSED
Port 148 --> Unknown Service --> CLOSED
Port 149 --> Unknown Service --> CLOSED
Port 150 --> Unknown Service --> CLOSED
Port 151 --> Unknown Service --> CLOSED
Port 152 --> Unknown Service --> CLOSED
Port 153 --> Unknown Service --> CLOSED
Port 154 --> Unknown Service --> CLOSED
Port 155 --> Unknown Service --> CLOSED
Port 156 --> Unknown Service --> CLOSED
Port 157 --> Unknown Service --> CLOSED
Port 158 --> Unknown Service --> CLOSED
Port 159 --> Unknown Service --> CLOSED
Port 160 --> Unknown Service --> CLOSED
Port 161 --> SNMP --> CLOSED
Port 162 --> Unknown Service --> CLOSED
Port 163 --> Unknown Service --> CLOSED
Port 164 --> Unknown Service --> CLOSED
Port 165 --> Unknown Service --> CLOSED
Port 166 --> Unknown Service --> CLOSED
Port 167 --> Unknown Service --> CLOSED
Port 168 --> Unknown Service --> CLOSED
Port 169 --> Unknown Service --> CLOSED
Port 170 --> Unknown Service --> CLOSED
Port 171 --> Unknown Service --> CLOSED
Port 172 --> Unknown Service --> CLOSED
Port 173 --> Unknown Service --> CLOSED
Port 174 --> Unknown Service --> CLOSED
Port 175 --> Unknown Service --> CLOSED
Port 176 --> Unknown Service --> CLOSED
Port 177 --> Unknown Service --> CLOSED
Port 178 --> Unknown Service --> CLOSED
Port 179 --> BGP --> CLOSED
Port 180 --> Unknown Service --> CLOSED
Port 181 --> Unknown Service --> CLOSED
Port 182 --> Unknown Service --> CLOSED
Port 183 --> Unknown Service --> CLOSED
Port 184 --> Unknown Service --> CLOSED
Port 185 --> Unknown Service --> CLOSED
Port 186 --> Unknown Service --> CLOSED
Port 187 --> Unknown Service --> CLOSED
Port 188 --> Unknown Service --> CLOSED
Port 189 --> Unknown Service --> CLOSED
Port 190 --> Unknown Service --> CLOSED
Port 191 --> Unknown Service --> CLOSED
Port 192 --> Unknown Service --> CLOSED
Port 193 --> Unknown Service --> CLOSED
Port 194 --> Unknown Service --> CLOSED
Port 195 --> Unknown Service --> CLOSED
Port 196 --> Unknown Service --> CLOSED
Port 197 --> Unknown Service --> CLOSED
Port 198 --> Unknown Service --> CLOSED
Port 199 --> Unknown Service --> CLOSED
Port 200 --> Unknown Service --> CLOSED
Port 201 --> Unknown Service --> CLOSED
Port 202 --> Unknown Service --> CLOSED
Port 203 --> Unknown Service --> CLOSED
Port 204 --> Unknown Service --> CLOSED
Port 205 --> Unknown Service --> CLOSED
Port 206 --> Unknown Service --> CLOSED
Port 207 --> Unknown Service --> CLOSED
Port 208 --> Unknown Service --> CLOSED
Port 209 --> Unknown Service --> CLOSED
Port 210 --> Unknown Service --> CLOSED
Port 211 --> Unknown Service --> CLOSED
Port 212 --> Unknown Service --> CLOSED
Port 213 --> Unknown Service --> CLOSED
Port 214 --> Unknown Service --> CLOSED
Port 215 --> Unknown Service --> CLOSED
Port 216 --> Unknown Service --> CLOSED
Port 217 --> Unknown Service --> CLOSED
Port 218 --> Unknown Service --> CLOSED
Port 219 --> Unknown Service --> CLOSED
Port 220 --> Unknown Service --> CLOSED
Port 221 --> Unknown Service --> CLOSED
Port 222 --> Unknown Service --> CLOSED
Port 223 --> Unknown Service --> CLOSED
Port 224 --> Unknown Service --> CLOSED
Port 225 --> Unknown Service --> CLOSED
Port 226 --> Unknown Service --> CLOSED
Port 227 --> Unknown Service --> CLOSED
Port 228 --> Unknown Service --> CLOSED
Port 229 --> Unknown Service --> CLOSED
Port 230 --> Unknown Service --> CLOSED
Port 231 --> Unknown Service --> CLOSED
Port 232 --> Unknown Service --> CLOSED
Port 233 --> Unknown Service --> CLOSED
Port 234 --> Unknown Service --> CLOSED
Port 235 --> Unknown Service --> CLOSED
Port 236 --> Unknown Service --> CLOSED
Port 237 --> Unknown Service --> CLOSED
Port 238 --> Unknown Service --> CLOSED
Port 239 --> Unknown Service --> CLOSED
Port 240 --> Unknown Service --> CLOSED
Port 241 --> Unknown Service --> CLOSED
Port 242 --> Unknown Service --> CLOSED
Port 243 --> Unknown Service --> CLOSED
Port 244 --> Unknown Service --> CLOSED
Port 245 --> Unknown Service --> CLOSED
Port 246 --> Unknown Service --> CLOSED
Port 247 --> Unknown Service --> CLOSED
Port 248 --> Unknown Service --> CLOSED
Port 249 --> Unknown Service --> CLOSED
Port 250 --> Unknown Service --> CLOSED
Port 251 --> Unknown Service --> CLOSED
Port 252 --> Unknown Service --> CLOSED
Port 253 --> Unknown Service --> CLOSED
Port 254 --> Unknown Service --> CLOSED
Port 255 --> Unknown Service --> CLOSED
Port 256 --> Unknown Service --> CLOSED
Port 257 --> Unknown Service --> CLOSED
Port 258 --> Unknown Service --> CLOSED
Port 259 --> Unknown Service --> CLOSED
Port 260 --> Unknown Service --> CLOSED
Port 261 --> Unknown Service --> CLOSED
Port 262 --> Unknown Service --> CLOSED
Port 263 --> Unknown Service --> CLOSED
Port 264 --> Unknown Service --> CLOSED
Port 265 --> Unknown Service --> CLOSED
Port 266 --> Unknown Service --> CLOSED
Port 267 --> Unknown Service --> CLOSED
Port 268 --> Unknown Service --> CLOSED
Port 269 --> Unknown Service --> CLOSED
Port 270 --> Unknown Service --> CLOSED
Port 271 --> Unknown Service --> CLOSED
Port 272 --> Unknown Service --> CLOSED
Port 273 --> Unknown Service --> CLOSED
Port 274 --> Unknown Service --> CLOSED
Port 275 --> Unknown Service --> CLOSED
Port 276 --> Unknown Service --> CLOSED
Port 277 --> Unknown Service --> CLOSED
Port 278 --> Unknown Service --> CLOSED
Port 279 --> Unknown Service --> CLOSED
Port 280 --> Unknown Service --> CLOSED
Port 281 --> Unknown Service --> CLOSED
Port 282 --> Unknown Service --> CLOSED
Port 283 --> Unknown Service --> CLOSED
Port 284 --> Unknown Service --> CLOSED
Port 285 --> Unknown Service --> CLOSED
Port 286 --> Unknown Service --> CLOSED
Port 287 --> Unknown Service --> CLOSED
