Port,Service,Status,Risk Level
100,Unknown Service,CLOSED,UNKNOWN
101,Unknown Service,CLOSED,UNKNOWN
102,Unknown Service,CLOSED,UNKNOWN
103,Unknown Service,CLOSED,UNKNOWN
104,Unknown Service,CLOSED,UNKNOWN
105,Unknown Service,CLOSED,UNKNOWN
106,Unknown Service,CLOSED,UNKNOWN
107,Unknown Service,CLOSED,UNKNOWN
108,Unknown Service,CLOSED,UNKNOWN
109,Unknown Service,CLOSED,UNKNOWN
110,POP3,CLOSED,UNKNOWN
111,Unknown Service,CLOSED,UNKNOWN
112,Unknown Service,CLOSED,UNKNOWN
113,Unknown Service,CLOSED,UNKNOWN
114,Unknown Service,CLOSED,UNKNOWN
115,Unknown Service,CLOSED,UNKNOWN
116,Unknown Service,CLOSED,UNKNOWN
117,Unknown Service,CLOSED,UNKNOWN
118,Unknown Service,CLOSED,UNKNOWN
119,Unknown Service,CLOSED,UNKNOWN
120,Unknown Service,CLOSED,UNKNOWN
121,Unknown Service,CLOSED,UNKNOWN
122,Unknown Service,CLOSED,UNKNOWN
123,NTP,CLOSED,UNKNOWN
124,Unknown Service,CLOSED,UNKNOWN
125,Unknown Service,CLOSED,UNKNOWN
126,Unknown Service,CLOSED,UNKNOWN
127,Unknown Service,CLOSED,UNKNOWN
128,Unknown Service,CLOSED,UNKNOWN
129,Unknown Service,CLOSED,UNKNOWN
130,Unknown Service,CLOSED,UNKNOWN
131,Unknown Service,CLOSED,UNKNOWN
132,Unknown Service,CLOSED,UNKNOWN
133,Unknown Service,CLOSED,UNKNOWN
134,Unknown Service,CLOSED,UNKNOWN
135,RPC,CLOSED,HIGH
136,Unknown Service,CLOSED,UNKNOWN
137,NetBIOS,CLOSED,UNKNOWN
138,NetBIOS,CLOSED,UNKNOWN
139,SMB,CLOSED,HIGH
140,Unknown Service,CLOSED,UNKNOWN
141,Unknown Service,CLOSED,UNKNOWN
142,Unknown Service,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
144,Unknown Service,CLOSED,UNKNOWN
145,Unknown Service,CLOSED,UNKNOWN
146,Unknown Service,CLOSED,UNKNOWN
147,Unknown Service,CLOSED,UNKNOWN
148,Unknown Service,CLOSED,UNKNOWN
149,Unknown Service,CLOSED,UNKNOWN
150,Unknown Service,CLOSED,UNKNOWN
151,Unknown Service,CLOSED,UNKNOWN
152,Unknown Service,CLOSED,UNKNOWN
153,Unknown Service,CLOSED,UNKNOWN
154,Unknown Service,CLOSED,UNKNOWN
155,Unknown Service,CLOSED,UNKNOWN
156,Unknown Service,CLOSED,UNKNOWN
157,Unknown Service,CLOSED,UNKNOWN
158,Unknown Service,CLOSED,UNKNOWN
159,Unknown Service,CLOSED,UNKNOWN
160,Unknown Service,CLOSED,UNKNOWN
161,SNMP,CLOSED,UNKNOWN
162,Unknown Service,CLOSED,UNKNOWN
163,Unknown Service,CLOSED,UNKNOWN
164,Unknown Service,CLOSED,UNKNOWN
165,Unknown Service,CLOSED,UNKNOWN
166,Unknown Service,CLOSED,UNKNOWN
167,Unknown Service,CLOSED,UNKNOWN
168,Unknown Service,CLOSED,UNKNOWN
169,Unknown Service,CLOSED,UNKNOWN
170,Unknown Service,CLOSED,UNKNOWN
171,Unknown Service,CLOSED,UNKNOWN
172,Unknown Service,CLOSED,UNKNOWN
173,Unknown Service,CLOSED,UNKNOWN
174,Unknown Service,CLOSED,UNKNOWN
175,Unknown Service,CLOSED,UNKNOWN
176,Unknown Service,CLOSED,UNKNOWN
177,Unknown Service,CLOSED,UNKNOWN
178,Unknown Service,CLOSED,UNKNOWN
179,BGP,CLOSED,UNKNOWN
180,Unknown Service,CLOSED,UNKNOWN
181,Unknown Service,CLOSED,UNKNOWN
182,Unknown Service,CLOSED,UNKNOWN
183,Unknown Service,CLOSED,UNKNOWN
184,Unknown Service,CLOSED,UNKNOWN
185,Unknown Service,CLOSED,UNKNOWN
186,Unknown Service,CLOSED,UNKNOWN
187,Unknown Service,CLOSED,UNKNOWN
188,Unknown Service,CLOSED,UNKNOWN
189,Unknown Service,CLOSED,UNKNOWN
190,Unknown Service,CLOSED,UNKNOWN
191,Unknown Service,CLOSED,UNKNOWN
192,Unknown Service,CLOSED,UNKNOWN
193,Unknown Service,CLOSED,UNKNOWN
194,Unknown Service,CLOSED,UNKNOWN
195,Unknown Service,CLOSED,UNKNOWN
196,Unknown Service,CLOSED,UNKNOWN
197,Unknown Service,CLOSED,UNKNOWN
198,Unknown Service,CLOSED,UNKNOWN
199,Unknown Service,CLOSED,UNKNOWN
200,Unknown Service,CLOSED,UNKNOWN
