Port,Service,Status,Risk Level
100,Unknown Service,CLOSED,UNKNOWN
101,HOSTNAME,CLOSED,UNKNOWN
102,ISO-TSAP,CLOSED,UNKNOWN
103,Unknown Service,CLOSED,UNKNOWN
104,Unknown Service,CLOSED,UNKNOWN
105,Unknown Service,CLOSED,UNKNOWN
106,Unknown Service,CLOSED,UNKNOWN
107,RTELNET,CLOSED,UNKNOWN
108,Unknown Service,CLOSED,UNKNOWN
109,POP2,CLOSED,UNKNOWN
110,POP3,CLOSED,UNKNOWN
111,RPCBIND,CLOSED,UNKNOWN
112,Unknown Service,CLOSED,UNKNOWN
113,Ident,CLOSED,UNKNOWN
114,Unknown Service,CLOSED,UNKNOWN
115,SFTP,CLOSED,UNKNOWN
116,Unknown Service,CLOSED,UNKNOWN
117,Unknown Service,CLOSED,UNKNOWN
118,SQL Services,CLOSED,UNKNOWN
119,NNTP,CLOSED,UNKNOWN
120,Unknown Service,CLOSED,UNKNOWN
121,Unknown Service,CLOSED,UNKNOWN
122,Unknown Service,CLOSED,UNKNOWN
123,NTP,CLOSED,UNKNOWN
124,Unknown Service,CLOSED,UNKNOWN
125,Unknown Service,CLOSED,UNKNOWN
126,Unknown Service,CLOSED,UNKNOWN
127,Unknown Service,CLOSED,UNKNOWN
128,Unknown Service,CLOSED,UNKNOWN
129,Unknown Service,CLOSED,UNKNOWN
130,Unknown Service,CLOSED,UNKNOWN
131,Unknown Service,CLOSED,UNKNOWN
132,Unknown Service,CLOSED,UNKNOWN
133,Unknown Service,CLOSED,UNKNOWN
134,Unknown Service,CLOSED,UNKNOWN
135,RPC,OPEN,HIGH
136,Unknown Service,CLOSED,UNKNOWN
137,NetBIOS Name Service,FILTERED,HIGH
138,NetBIOS Datagram Service,CLOSED,HIGH
139,NetBIOS Session Service,CLOSED,HIGH
140,Unknown Service,CLOSED,UNKNOWN
141,Unknown Service,CLOSED,UNKNOWN
142,Unknown Service,CLOSED,UNKNOWN
143,IMAP,CLOSED,UNKNOWN
144,Unknown Service,CLOSED,UNKNOWN
145,Unknown Service,CLOSED,UNKNOWN
146,Unknown Service,CLOSED,UNKNOWN
147,Unknown Service,CLOSED,UNKNOWN
148,Unknown Service,CLOSED,UNKNOWN
149,Unknown Service,CLOSED,UNKNOWN
150,Unknown Service,CLOSED,UNKNOWN
